,Neighborhood,Borough,Cluster Labels,Latitude,Longitude
304,Esenkent,Esenyurt,0,41.0597265,28.6771866
305,Fatih,Esenyurt,0,41.0301904,28.6756958
306,Güzelyurt (Haramidere),Esenyurt,0,41.0065916,28.6651555
307,İncirtepe,Esenyurt,0,41.0212223,28.6935854
308,İnönü,Esenyurt,0,41.028412,28.6892086
309,İstiklal,Esenyurt,0,41.0369417,28.6501717
310,Mehterçeşme,Esenyurt,0,41.0197516,28.6631582
311,Merkez,Esenyurt,0,41.545063,32.2556
312,Namik Kemal,Esenyurt,0,41.0087368,28.6914255
313,Örnek,Esenyurt,0,41.0421073,28.67245
314,Pınar,Esenyurt,0,41.0346538,28.6654387
315,Saadetdere,Esenyurt,0,41.008774,28.6977072
316,Sanayii,Esenyurt,0,41.067394199999995,28.65608248234789
317,Talatpasa,Esenyurt,0,41.0209589,28.6736925
318,Yenikent,Esenyurt,0,41.0398218,28.6817117
319,Yeşilkent,Esenyurt,0,41.0260628,28.6600358
320,Akşemsettin,Eyüp,0,41.0865361,28.925986
321,Alibeyköy,Eyüp,0,41.0791413,28.949577
322,Çırçır,Eyüp,0,41.0803808,28.9350258
323,Defterdar,Eyüp,0,41.0385554,28.9263415
324,Düğmeciler,Eyüp,0,41.0454697,28.92534
325,Emniyettepe,Eyüp,0,41.0687314,28.9496723
326,Esentepe,Eyüp,0,41.0700759,28.9388399
327,Merkez,Eyüp,0,41.0492625,28.9346503
328,Göktürk,Eyüp,0,41.18778185,28.88197664716612
329,Güzeltepe,Eyüp,0,41.0887193,28.9519605
330,İslambey,Eyüp,0,41.0513251,28.9281328
331,Karadolap,Eyüp,0,41.0744087,28.9330029
332,Mimarsinan,Eyüp,0,41.1358536,28.948533312749998
333,Mithatpaşa,Eyüp,0,41.172775,28.928943962527068
334,Nişanca,Eyüp,0,41.0415174,28.9281204
335,Rami Cuma,Eyüp,0,41.0494315,28.9222089
336,Rami Yeni,Eyüp,0,41.0465961,28.9156334
337,Sakarya,Eyüp,0,41.0668244,28.9406205
338,Silahtarağa,Eyüp,0,41.0619329,28.9407135
339,Topçular,Eyüp,0,41.0416417,28.9195621
340,Yeşilpınar,Eyüp,0,41.0822903,28.9182892
341,Aksaray,Fatih,0,38.3578384,34.0351138
342,Akşemsettin,Fatih,0,40.9480536,29.2992971
343,Alemdar,Fatih,0,41.0095336,28.9759538
344,Ali Kuşçu,Fatih,0,41.0209707,28.948833
345,Atikali,Fatih,0,41.0250875,28.9450249
346,Ayvansaray,Fatih,0,41.0396674,28.9438382
347,Balabanağa,Fatih,0,41.0107202,28.9596261
348,Balat,Fatih,0,41.03406,28.9480894
349,Beyazıt,Fatih,0,41.009452,28.964008
350,Binbirdirek,Fatih,0,41.0074523,28.9739702
351,Cankurtaran,Fatih,0,41.0105913,28.9823116
352,Cerrahpaşa,Fatih,0,41.0046109,28.939363
353,Cibali,Fatih,0,41.0227473,28.9578576
354,Demirtaş,Fatih,0,38.6323334,34.9154795
355,Derviş Ali,Fatih,0,41.0194528,28.9478564
356,Eminsinan,Fatih,0,41.0064686,28.9690484
357,Hacıkadın,Fatih,0,41.0185411,28.9590018
358,Hasekisultan,Fatih,0,41.0097692,28.9419261
359,Hırkaişerif,Fatih,0,41.02186425,28.941632375757578
360,Hobyar,Fatih,0,41.0150352,28.9739406
361,Hoca Giyasettin,Fatih,0,41.0178273,28.9615134
362,Hocapaşa,Fatih,0,41.0155016,28.978787
363,İskenderpaşa,Fatih,0,41.0167281,28.9463366
364,Kalenderhane,Fatih,0,41.013146,28.960368381940985
365,Karagümrük,Fatih,0,41.0257664,28.9337156
366,Katip Kasım,Fatih,0,41.004657,28.9547051
367,Kemalpaşa,Fatih,0,41.01177305,28.955255740624995
368,Kocamustafapaşa,Fatih,0,41.0041123,28.9287718
369,Küçükayasofya,Fatih,0,41.0030549,28.971975
370,Mercan,Fatih,0,41.0138624,28.9676524
371,Mesihpaşa,Fatih,0,41.0084979,28.9542904
372,Mevlanakapı,Fatih,0,41.0138086,28.9214273
373,Mimar Hayrettin,Fatih,0,41.0072543,28.9661015
374,Mimar Kemalettin,Fatih,0,41.0090859,28.960741
375,Mollafenari,Fatih,0,41.00997,28.9709807
376,Mollagürani,Fatih,0,41.0135074,28.9417665
377,Mollahüsrev,Fatih,0,41.0157404,28.95825
378,Muhsinehatun,Fatih,0,41.0034325,28.961378
379,Nişanca,Fatih,0,41.0051086,28.9587464
380,Rüstempaşa,Fatih,0,41.0171577,28.9705026
381,Saraçishak,Fatih,0,41.0066443,28.9634977
382,Sarıdemir,Fatih,0,41.0192961,28.9656209
383,Seyyid Ömer,Fatih,0,41.0085343,28.9314813
384,Silivrikapı,Fatih,0,41.0052952,28.9274356
385,Sultanahmet,Fatih,0,41.0038181,28.9772823
386,Sururi,Fatih,0,41.0126693,28.9713856
387,Süleymaniye,Fatih,0,41.016300799999996,28.96397730996554
388,Sümbülefendi,Fatih,0,41.003338850000006,28.929920125807417
389,Şehremini,Fatih,0,41.0128632,28.9314073
390,Şehsuvarbey,Fatih,0,41.0036768,28.9658286
391,Tahtakale,Fatih,0,41.0161091,28.9684438
392,Tayahatun,Fatih,0,41.012428,28.9693019
393,Topkapı,Fatih,0,41.019724,28.9205723
394,Yavuzsinan,Fatih,0,41.0208145,28.9618931
395,Yavuz Sultan Selim,Fatih,0,41.0262297,28.9543426
396,Yedikule,Fatih,0,40.9947731,28.9238646
397,Zeyrek,Fatih,0,41.0197079,28.957248610865737
398,Bağlarbaşı,Gaziosmanpaşa,0,41.0663578,28.9128549
399,Barbaros Hayrettin Paşa,Gaziosmanpaşa,0,41.075619,28.8912334
400,Fevzi Çakmak,Gaziosmanpaşa,0,41.0719581,28.9091041
401,Hürriyet,Gaziosmanpaşa,0,41.0668361,28.9023926
402,Karadeniz,Gaziosmanpaşa,0,40.3570844,36.6890889
403,Karayolları,Gaziosmanpaşa,0,41.0856249,28.8982375
404,Karlıtepe,Gaziosmanpaşa,0,41.0558839,28.9339432
405,Kâzım Karabekir,Gaziosmanpaşa,0,41.0853315,28.9085323
406,Merkez,Gaziosmanpaşa,0,40.3570844,36.6890889
407,Mevlana,Gaziosmanpaşa,0,41.0859255,28.9100839
408,Pazariçi,Gaziosmanpaşa,0,41.0592643,28.9341811
409,Sarıgöl,Gaziosmanpaşa,0,41.058172,28.9195242
410,Şemsipaşa,Gaziosmanpaşa,0,41.0674483,28.9068996
411,Yenidoğan,Gaziosmanpaşa,0,41.0612965,28.9237958
412,Yenimahalle,Gaziosmanpaşa,0,41.0838895,28.8927638
413,Yıldıztabya,Gaziosmanpaşa,0,41.0625684,28.929653
414,Akıncılar,Güngören,0,41.0172106,28.8713045
415,Abdurrahman Nafiz Gürman,Güngören,0,41.0059652,28.8882539
416,Gençosman,Güngören,0,41.0301603,28.8803841
417,Güneştepe,Güngören,0,41.0289897,28.8610355
418,Güven,Güngören,0,41.0152599,28.8774707
419,Haznedar,Güngören,0,41.0084199,28.8717763
420,Mareşal Fevzi Çakmak,Güngören,0,41.0239768,28.8714718
421,Mehmet Nezih Özmen,Güngören,0,0.0,0.0
422,Merkez,Güngören,0,39.078617,40.292355
423,Sanayi,Güngören,0,41.0241433,28.8820619
424,Tozkoparan,Güngören,0,41.013875,28.8928024
425,19 Mayıs,Kadıköy,0,40.9713317,29.087625017006538
426,Acıbadem,Kadıköy,0,41.0037683,29.0437162
427,Bostancı,Kadıköy,0,40.9537549,29.095501
428,Caddebostan,Kadıköy,0,40.9641386,29.0645973
429,Caferağa,Kadıköy,0,40.9905872,29.0220448
430,Dumlupınar,Kadıköy,0,40.9931039,29.0596279
431,Eğitim,Kadıköy,0,40.9890334,29.0490887
432,Erenköy,Kadıköy,0,40.9716688,29.0763701
433,Fenerbahçe,Kadıköy,0,40.98763855,29.036976064487355
434,Feneryolu,Kadıköy,0,40.9788502,29.0487327
435,Fikirtepe,Kadıköy,0,40.9937033,29.0471334
436,Göztepe,Kadıköy,0,40.9792219,29.062645
437,Hasanpaşa,Kadıköy,0,40.9967079,29.0440914
438,Koşuyolu,Kadıköy,0,41.0069381,29.0350244
439,Kozyatağı,Kadıköy,0,40.97539,29.0996756
440,Merdivenköy,Kadıköy,0,40.9877529,29.0676991
441,Osmanağa,Kadıköy,0,40.9925952,29.0242514
442,Rasimpaşa,Kadıköy,0,40.9942488,29.024564
443,Sahrayıcedid,Kadıköy,0,40.9811458,29.0828054
444,Suadiye,Kadıköy,0,40.9605007,29.0844637
445,Zühtüpaşa,Kadıköy,0,40.98771,29.0397924
446,Çağlayan,Kağıthane,0,41.0746256,28.9799888
447,Çeliktepe,Kağıthane,0,41.083673,28.9997851
